,date_pr,weekday_fa,holiday_inCal,date_gr,weekday_en,my_date
0,1396/01/01,سه شنبه,1,2017-03-21,Tuesday,13960101
1,1396/01/02,چهارشنبه,1,2017-03-22,Wednesday,13960102
2,1396/01/03,پنجشنبه,1,2017-03-23,Thursday,13960103
3,1396/01/04,جمعه,1,2017-03-24,Friday,13960104
4,1396/01/05,شنبه,0,2017-03-25,Saturday,13960105
5,1396/01/06,یکشنبه,0,2017-03-26,Sunday,13960106
6,1396/01/07,دوشنبه,0,2017-03-27,Monday,13960107
7,1396/01/08,سه شنبه,0,2017-03-28,Tuesday,13960108
8,1396/01/09,چهارشنبه,0,2017-03-29,Wednesday,13960109
9,1396/01/10,پنجشنبه,0,2017-03-30,Thursday,13960110
10,1396/01/11,جمعه,0,2017-03-31,Friday,13960111
11,1396/01/12,شنبه,1,2017-04-01,Saturday,13960112
12,1396/01/13,یکشنبه,1,2017-04-02,Sunday,13960113
13,1396/01/14,دوشنبه,0,2017-04-03,Monday,13960114
14,1396/01/15,سه شنبه,0,2017-04-04,Tuesday,13960115
15,1396/01/16,چهارشنبه,0,2017-04-05,Wednesday,13960116
16,1396/01/17,پنجشنبه,0,2017-04-06,Thursday,13960117
17,1396/01/18,جمعه,0,2017-04-07,Friday,13960118
18,1396/01/19,شنبه,0,2017-04-08,Saturday,13960119
19,1396/01/20,یکشنبه,0,2017-04-09,Sunday,13960120
20,1396/01/21,دوشنبه,0,2017-04-10,Monday,13960121
21,1396/01/22,سه شنبه,1,2017-04-11,Tuesday,13960122
22,1396/01/23,چهارشنبه,0,2017-04-12,Wednesday,13960123
23,1396/01/24,پنجشنبه,0,2017-04-13,Thursday,13960124
24,1396/01/25,جمعه,0,2017-04-14,Friday,13960125
25,1396/01/26,شنبه,0,2017-04-15,Saturday,13960126
26,1396/01/27,یکشنبه,0,2017-04-16,Sunday,13960127
27,1396/01/28,دوشنبه,0,2017-04-17,Monday,13960128
28,1396/01/29,سه شنبه,0,2017-04-18,Tuesday,13960129
29,1396/01/30,چهارشنبه,0,2017-04-19,Wednesday,13960130
30,1396/01/31,پنجشنبه,0,2017-04-20,Thursday,13960131
31,1396/02/01,جمعه,0,2017-04-21,Friday,13960201
32,1396/02/02,شنبه,0,2017-04-22,Saturday,13960202
33,1396/02/03,یکشنبه,0,2017-04-23,Sunday,13960203
34,1396/02/04,دوشنبه,0,2017-04-24,Monday,13960204
35,1396/02/05,سه شنبه,1,2017-04-25,Tuesday,13960205
36,1396/02/06,چهارشنبه,0,2017-04-26,Wednesday,13960206
37,1396/02/07,پنجشنبه,0,2017-04-27,Thursday,13960207
38,1396/02/08,جمعه,0,2017-04-28,Friday,13960208
39,1396/02/09,شنبه,0,2017-04-29,Saturday,13960209
40,1396/02/10,یکشنبه,0,2017-04-30,Sunday,13960210
41,1396/02/11,دوشنبه,0,2017-05-01,Monday,13960211
42,1396/02/12,سه شنبه,0,2017-05-02,Tuesday,13960212
43,1396/02/13,چهارشنبه,0,2017-05-03,Wednesday,13960213
44,1396/02/14,پنجشنبه,0,2017-05-04,Thursday,13960214
45,1396/02/15,جمعه,0,2017-05-05,Friday,13960215
46,1396/02/16,شنبه,0,2017-05-06,Saturday,13960216
47,1396/02/17,یکشنبه,0,2017-05-07,Sunday,13960217
48,1396/02/18,دوشنبه,0,2017-05-08,Monday,13960218
49,1396/02/19,سه شنبه,0,2017-05-09,Tuesday,13960219
50,1396/02/20,چهارشنبه,0,2017-05-10,Wednesday,13960220
51,1396/02/21,پنجشنبه,0,2017-05-11,Thursday,13960221
52,1396/02/22,جمعه,1,2017-05-12,Friday,13960222
53,1396/02/23,شنبه,0,2017-05-13,Saturday,13960223
54,1396/02/24,یکشنبه,0,2017-05-14,Sunday,13960224
55,1396/02/25,دوشنبه,0,2017-05-15,Monday,13960225
56,1396/02/26,سه شنبه,0,2017-05-16,Tuesday,13960226
57,1396/02/27,چهارشنبه,0,2017-05-17,Wednesday,13960227
58,1396/02/28,پنجشنبه,0,2017-05-18,Thursday,13960228
59,1396/02/29,جمعه,0,2017-05-19,Friday,13960229
60,1396/02/30,شنبه,0,2017-05-20,Saturday,13960230
61,1396/02/31,یکشنبه,0,2017-05-21,Sunday,13960231
62,1396/03/01,دوشنبه,0,2017-05-22,Monday,13960301
63,1396/03/02,سه شنبه,0,2017-05-23,Tuesday,13960302
64,1396/03/03,چهارشنبه,0,2017-05-24,Wednesday,13960303
65,1396/03/04,پنجشنبه,0,2017-05-25,Thursday,13960304
