,index,countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,e_avg
0,38,Asia,1886.7474493859,2038.1049935875,2159.5623671424,2295.72735932,2510.0368958721,2650.7479977554,2797.4172198755,2920.9959610597,2992.093298069,3125.070303374,3365.994184,3504.217246,3739.235902,4044.006784,4427.376974,4816.436544,5248.83603,5760.242663,5963.874171,6243.76282,6878.771733,7383.508839,7767.186253,8268.023753,8609.855947,8852.930885,9347.3607331268,9860.6160743201,10475.826166378,10772.624018875,10904.128908004,5535.849047553077
1,27,America,3661.150233,3825.3216022,3860.6685598,3993.4304655,4113.1741084,4242.71153,4351.3233102821,4445.9982523935,4583.358825334,4703.2281840096,4890.313942,4848.139483,4959.823127,5055.2489376744,5159.6234564093,5285.0425687209,5324.0883098837,5485.974028,5498.187175,5303.8337642564,5540.0045959248,5596.5004573307,5589.9545063488,5686.895683197,5733.623742197,5755.0227249593,5788.380717156,5779.3265212086,5973.5510162229,5941.1001739919,5740.9978769224,5055.354770268492
2,28,North America,3153.869,3300.337,3316.486,3423.361,3514.086,3611.636,3704.909,3760.415,3861.392,3957.123,4103.446,4068.509,4155.755,4197.23,4258.247,4346.577,4343.876,4460.228,4438.235,4241.079,4414.461,4414.926,4358.111,4410.626,4442.18,4440.263,4462.784,4447.470078,4614.834012,4571.569161311,4397.9970831917,4102.968301112991
3,30,United States,2712.555,2854.26,2865.559,2963.142,3047.324,3135.807,3221.305,3270.628,3373.86,3459.621,3589.779,3554.396,3631.904,3662.327,3716.318,3811.487,3817.56,3921.94,3907.229,3724.658,3894.367,3885.019,3830.933,3871.735,3895.216,3895.365,3922.011,3886.956078,4042.840012,3996.1085090063,3842.1568819937,3587.237628419355
4,39,China,507.054,581.211,644.977,715.634,797.8,848.435,915.94,952.637,986.454,1043.574,1138.463,1240.951,1380.006,1604.719,1859.266,2126.432,2446.346,2816.826,2988.743,3222.519,3625.524,4051.605,4326.079,4717.568,4938.623,5103.446,5407.407,5784.302111,6268.868969,6549.1249274192,6752.1478001692,2785.2478325028515
5,22,CIS,1417.217,1388.141,1288.531,1175.253,1058.091,1025.931,986.382,960.829,935.99,952.189,976.167,991.461,991.682,1025.878,1052.49,1080.2138056,1133.596128,1163.7787904,1189.37604,1131.4612,1196.9007,1219.36768,1243.61848,1238.09404,1236.118982,1231.40526674,1252.9906270789,1271.49061396,1308.97738456,1316.2291170066,1290.8454516537,1152.6031066773937
6,42,Japan,774.858,798.324,806.201,813.677,866.612,884.004,904.372,915.292,924.78,945.888,986.454,970.012,987.659,981.746,1015.505,1039.726,1043.895,1076.841,1037.451,1004.155,1051.271,1011.722,1006.624,1005.233,988.673,964.661,965.085,980.18619,960.894325,934.06030250426,905.41593978055,953.2670244285423
7,31,Latin America,507.281233,524.9846022,544.1825598,570.0694655,599.0881084,631.07553,646.41431028215,685.58325239347,721.96682533397,746.1051840096,786.867942,779.630483,804.068127,858.01893767442,901.3764564093,938.46556872093,980.21230988372,1025.746028,1059.952175,1062.7547642564,1125.5435959248,1181.5744573307,1231.8435063488,1276.269683197,1291.443742197,1314.7597249593,1325.596717156,1331.8564432086,1358.7170042229,1369.5310126809,1343.0007937307,952.386469155505
8,24,Russia,917.409,898.511,838.323,781.57,706.808,696.988,681.006,667.926,649.717,669.173,692.869,700.089,699.311,721.223,739.053,759.86,797.813,820.698,843.37,807.937,850.661,856.239,874.739,871.74,877.127,876.816,898.488,904.877863,926.176715,929.56126075528,905.59500441903,801.9895110701393
9,40,India,211.766,232.033,247.451,266.146,289.569,309.649,314.976,334.258,350.923,360.356,368.655,374.591,399.45,424.833,450.622,481.864,534.217,579.615,615.681,660.743,722.514,788.076,830.579,882.601,968.356,1022.867,1103.071,1159.35414,1206.997641,1218.4585307272,1190.7320742029,609.7098189009708
10,55,Middle-East,212.941,213.142,243.142,267.135,284.052,296.877,314.776,331.81,360.244,381.553,399.774,421.627,446.877,473.599,500.665,527.183,568.101,599.682,632.47,663.797,737.362,758.868,821.322,859.398,912.13,928.003,973.616,1004.375696,1021.907913,1024.2114920599,1023.5326152205,587.2314102025936
